Date,ProductName,DeliveredAlwaysbest,DeliveredTop,DeliveredColMart,DemandAlwaysbest,DemandTop,DemandColMart
2018-08-06,Fressie Orange 1 liter,22200,0,0,22200,0,0
2018-08-06,Fressie Orange/Mango 1 liter,0,0,0,0,0,0
2018-08-06,Fressie Orange/C-power PET,0,0,0,0,0,2880
2018-08-06,Fressie Orange PET,0,25920,0,0,25920,0
2018-08-06,Fressie Orange/Mango PET,0,0,0,0,0,0
2018-08-06,Fressie Orange/Mango+C 1L,0,0,0,0,0,0
2018-08-07,Fressie Orange 1 liter,0,0,67800,0,0,67800
2018-08-07,Fressie Orange/Mango 1 liter,0,0,0,0,0,0
2018-08-07,Fressie Orange/C-power PET,0,0,0,0,8640,0
2018-08-07,Fressie Orange PET,0,0,0,0,0,0
2018-08-07,Fressie Orange/Mango PET,0,2880,8640,0,2880,8640
2018-08-07,Fressie Orange/Mango+C 1L,0,0,10200,0,0,10200
2018-08-08,Fressie Orange 1 liter,24000,0,0,24000,0,0
2018-08-08,Fressie Orange/Mango 1 liter,0,0,0,0,0,0
2018-08-08,Fressie Orange/C-power PET,0,0,0,0,0,0
2018-08-08,Fressie Orange PET,0,0,0,0,0,0
2018-08-08,Fressie Orange/Mango PET,0,0,0,0,0,0
2018-08-08,Fressie Orange/Mango+C 1L,0,0,0,0,0,0
2018-08-09,Fressie Orange 1 liter,0,0,63000,0,0,63000
2018-08-09,Fressie Orange/Mango 1 liter,0,0,0,0,0,0
2018-08-09,Fressie Orange/C-power PET,0,0,0,2880,0,0
2018-08-09,Fressie Orange PET,28800,0,37440,28800,0,37440
2018-08-09,Fressie Orange/Mango PET,5760,0,0,5760,0,0
2018-08-09,Fressie Orange/Mango+C 1L,0,0,10800,0,0,10800
2018-08-10,Fressie Orange 1 liter,24600,0,0,24600,0,0
2018-08-10,Fressie Orange/Mango 1 liter,2400,0,0,2400,0,0
2018-08-10,Fressie Orange/C-power PET,0,0,0,0,0,0
2018-08-10,Fressie Orange PET,0,0,0,0,0,0
2018-08-10,Fressie Orange/Mango PET,0,0,0,0,0,0
2018-08-10,Fressie Orange/Mango+C 1L,0,0,0,0,0,0
2018-08-13,Fressie Orange 1 liter,0,0,73200,0,0,73200
2018-08-13,Fressie Orange/Mango 1 liter,0,0,0,0,0,0
2018-08-13,Fressie Orange/C-power PET,0,0,0,0,0,2880
2018-08-13,Fressie Orange PET,0,40320,0,0,40320,0
