"Date";"ProductName";"StockEOD";"DeliveryFromProduction";"Rejection";"StartupLoss";"Obsoletes";"InBackorder"
"2018-08-06";"Fressie Orange 1 liter";291247;0;0;0;0;0
"2018-08-06";"Fressie Orange/Mango 1 liter";34278;0;0;0;0;0
"2018-08-06";"Fressie Orange/C-power PET";0;0;0;0;0;11893
"2018-08-06";"Fressie Orange PET";276486;0;0;0;0;0
"2018-08-06";"Fressie Orange/Mango PET";93678;0;0;0;0;0
"2018-08-06";"Fressie Orange/Mango+C 1L";110769;0;0;0;0;0
"2018-08-07";"Fressie Orange 1 liter";498066;274899;0;280;0;0
"2018-08-07";"Fressie Orange/Mango 1 liter";34278;0;0;0;0;0
"2018-08-07";"Fressie Orange/C-power PET";0;0;0;0;0;14773
"2018-08-07";"Fressie Orange PET";276486;0;0;0;0;0
"2018-08-07";"Fressie Orange/Mango PET";82158;0;0;0;0;0
"2018-08-07";"Fressie Orange/Mango+C 1L";100569;0;0;0;0;0
"2018-08-08";"Fressie Orange 1 liter";474066;0;0;0;0;0
"2018-08-08";"Fressie Orange/Mango 1 liter";34278;0;0;0;0;0
"2018-08-08";"Fressie Orange/C-power PET";0;0;0;0;0;23413
"2018-08-08";"Fressie Orange PET";276486;0;0;0;0;0
"2018-08-08";"Fressie Orange/Mango PET";82158;0;0;0;0;0
"2018-08-08";"Fressie Orange/Mango+C 1L";100569;0;0;0;0;0
"2018-08-09";"Fressie Orange 1 liter";411066;0;0;0;0;0
"2018-08-09";"Fressie Orange/Mango 1 liter";34278;0;0;0;0;0
"2018-08-09";"Fressie Orange/C-power PET";0;0;0;0;0;23413
"2018-08-09";"Fressie Orange PET";210246;0;0;0;0;0
"2018-08-09";"Fressie Orange/Mango PET";76398;0;0;0;0;0
"2018-08-09";"Fressie Orange/Mango+C 1L";89769;0;0;0;0;0
"2018-08-10";"Fressie Orange 1 liter";386466;0;0;0;0;0
"2018-08-10";"Fressie Orange/Mango 1 liter";31878;0;0;0;0;0
"2018-08-10";"Fressie Orange/C-power PET";0;0;0;0;0;26293
"2018-08-10";"Fressie Orange PET";210246;0;0;0;0;0
"2018-08-10";"Fressie Orange/Mango PET";76398;0;0;0;0;0
"2018-08-10";"Fressie Orange/Mango+C 1L";89769;0;0;0;0;0
"2018-08-13";"Fressie Orange 1 liter";313266;0;0;0;0;0
"2018-08-13";"Fressie Orange/Mango 1 liter";31878;0;0;0;0;0
"2018-08-13";"Fressie Orange/C-power PET";0;0;0;0;0;26293
"2018-08-13";"Fressie Orange PET";169926;0;0;0;0;0
"2018-08-13";"Fressie Orange/Mango PET";76398;0;0;0;0;0
"2018-08-13";"Fressie Orange/Mango+C 1L";78369;0;0;0;0;0
"2018-08-14";"Fressie Orange 1 liter";313266;0;0;0;0;0
"2018-08-14";"Fressie Orange/Mango 1 liter";29478;0;0;0;0;0
"2018-08-14";"Fressie Orange/C-power PET";0;0;0;0;0;29173
"2018-08-14";"Fressie Orange PET";120966;0;0;0;0;0
"2018-08-14";"Fressie Orange/Mango PET";76398;0;0;0;0;0
"2018-08-14";"Fressie Orange/Mango+C 1L";78369;0;0;0;0;0
"2018-08-15";"Fressie Orange 1 liter";313266;0;0;0;0;0
